"R","G","B"
0,0.247,0.706
0,0.267,0.702
0.086,0.282,0.702
0.137,0.302,0.706
0.176,0.318,0.71
0.208,0.337,0.714
0.235,0.353,0.722
0.263,0.369,0.725
0.286,0.384,0.733
0.31,0.4,0.741
0.333,0.42,0.749
0.353,0.435,0.757
0.376,0.451,0.765
0.396,0.467,0.773
0.416,0.482,0.78
0.435,0.502,0.792
0.455,0.518,0.8
0.475,0.533,0.808
0.49,0.549,0.82
0.51,0.565,0.827
0.529,0.58,0.839
0.549,0.596,0.847
0.565,0.616,0.855
0.584,0.631,0.867
0.6,0.647,0.875
0.62,0.663,0.886
0.635,0.678,0.894
0.655,0.694,0.906
0.671,0.71,0.914
0.69,0.725,0.925
0.706,0.741,0.933
0.722,0.757,0.941
0.741,0.773,0.953
0.757,0.788,0.961
0.773,0.804,0.969
0.788,0.816,0.98
0.804,0.831,0.988
0.82,0.847,0.996
0.835,0.859,1
0.847,0.871,1
