"R","G","B"
1,1,1
1,1,0.973
1,0.996,0.953
1,0.992,0.937
1,0.984,0.922
1,0.976,0.906
1,0.969,0.89
1,0.957,0.878
1,0.945,0.867
1,0.929,0.851
1,0.914,0.839
1,0.898,0.831
1,0.878,0.82
1,0.859,0.812
1,0.839,0.8
1,0.816,0.792
1,0.792,0.788
1,0.769,0.78
1,0.745,0.773
1,0.718,0.769
0.988,0.694,0.761
0.973,0.667,0.753
0.957,0.639,0.749
0.937,0.608,0.741
0.914,0.58,0.737
0.89,0.549,0.729
0.863,0.518,0.722
0.835,0.49,0.714
0.804,0.459,0.706
0.773,0.427,0.694
0.737,0.392,0.686
0.702,0.361,0.675
0.663,0.329,0.663
0.624,0.294,0.647
0.58,0.263,0.635
0.537,0.227,0.624
0.494,0.188,0.612
0.447,0.149,0.6
0.396,0.102,0.592
0.345,0.02,0.592
