"R","G","B"
1,0.831,0.839
1,0.82,0.824
1,0.804,0.812
0.996,0.788,0.796
0.988,0.773,0.78
0.98,0.753,0.761
0.969,0.737,0.745
0.961,0.722,0.729
0.949,0.702,0.714
0.941,0.686,0.694
0.929,0.667,0.678
0.918,0.651,0.659
0.91,0.631,0.643
0.898,0.616,0.624
0.886,0.596,0.608
0.875,0.576,0.588
0.863,0.561,0.573
0.855,0.541,0.553
0.843,0.522,0.537
0.831,0.506,0.518
0.82,0.486,0.498
0.808,0.467,0.482
0.796,0.447,0.463
0.784,0.427,0.443
0.769,0.412,0.427
0.757,0.392,0.408
0.745,0.373,0.388
0.733,0.353,0.373
0.722,0.333,0.353
0.706,0.314,0.333
0.694,0.294,0.314
0.682,0.271,0.294
0.667,0.251,0.275
0.655,0.231,0.255
0.643,0.208,0.235
0.627,0.184,0.216
0.616,0.161,0.196
0.6,0.133,0.173
0.588,0.106,0.149
0.573,0.071,0.125
